Type,District,avg_price,avg_living_area,advertisement_count,avg_price_per_square
Farm,Vila Real,780000.0,120.0,1,1.282051282051282e-06
Apartment,Faro,223000.0,81.0,1,4.484304932735426e-06
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Apartment,Faro,224250.0,87.75,2,4.459719927621745e-06
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Apartment,Faro,228958.3333333333,94.375,2,4.374904937980227e-06
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Apartment,Faro,233354.16666666666,99.3125,2,4.296236199617129e-06
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Apartment,Faro,236777.0833333333,102.85625,2,4.2351450843101775e-06
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Apartment,Faro,238488.54166666666,104.62812500000001,2,4.204599526656702e-06
Building,Faro,2950000.0,406.0,1,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Apartment,Faro,239344.2708333333,105.51406250000001,2,4.189326747829963e-06
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Land,Faro,165000.0,,1,6.060606060606061e-06
Apartment,Faro,220547.13541666666,99.34036458333334,2,1.2605782352227729e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Land,Faro,165000.0,,2,6.060606060606061e-06
Apartment,Faro,208023.5677083333,92.59875372023811,2,1.576450129495698e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Land,Faro,165000.0,,2,6.060606060606061e-06
Apartment,Faro,205168.03385416666,89.17437686011905,2,1.6411159501466216e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Land,Faro,165000.0,,2,6.060606060606061e-06
Apartment,Faro,224722.90581597222,87.36496620783731,2,1.5882617506001893e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Land,Faro,165000.0,,2,6.060606060606061e-06
Apartment,Faro,253036.45290798612,93.08248310391866,2,1.4931943545750981e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Land,Faro,165000.0,,2,6.060606060606061e-06
Apartment,Faro,267193.22645399306,95.94124155195934,2,1.4456606565625525e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Land,Faro,142500.0,760.0,2,7.87878787878788e-06
Apartment,Faro,277392.0677724511,95.97062077597967,2,1.371329595154656e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Land,Faro,131250.0,760.0,2,8.78787878787879e-06
Apartment,Faro,282491.48843168013,95.98531038798984,2,1.3341640644507077e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
House,Faro,175000.0,78.0,1,5.7142857142857145e-06
Land,Faro,125625.0,760.0,2,9.242424242424244e-06
Apartment,Faro,273766.5775491734,94.90932186066158,2,1.5066377327416383e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
House,Faro,175000.0,78.0,2,5.7142857142857145e-06
Land,Faro,122812.5,760.0,2,9.46969696969697e-06
Apartment,Faro,283056.3656976636,93.60850708417695,2,1.5344968331004913e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
House,Faro,175000.0,78.0,2,5.7142857142857145e-06
Land,Faro,121406.25,760.0,2,9.583333333333334e-06
Apartment,Faro,298510.3257059747,92.0185392563742,2,1.4986303580453251e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
House,Faro,175000.0,78.0,2,5.7142857142857145e-06
Land,Faro,120703.125,760.0,2,9.640151515151516e-06
Apartment,Faro,315771.82951965404,90.84260296152044,2,1.4374938799736258e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
House,Faro,175000.0,78.0,2,5.7142857142857145e-06
Land,Faro,120351.5625,760.0,2,9.668560606060607e-06
Apartment,Faro,324402.5814264937,90.25463481409355,2,1.406925640937776e-05
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
